Name,Description,Image,Price,Stock,Class
倩碧水磁場,看起來不錯,https://github.com/e14076423/src/blob/main/%E4%BF%9D1.jpg?raw=true,499,20,maintainance
蘭蔻小黑憑,我覺得還行,https://github.com/e14076423/src/blob/main/%E4%BF%9D2.jpg?raw=true,799,20,maintainance
專科面膜,就敷啊,https://github.com/e14076423/src/blob/main/%E4%BF%9D3.jpg?raw=true,222,20,maintainance
Dr.Wu面膜,敷第二次,https://github.com/e14076423/src/blob/main/%E4%BF%9D4.jpg?raw=true,699,20,maintainance
Fresh O2粉底液,很Fresh歐,https://github.com/e14076423/src/blob/main/%E5%BA%951.jpg?raw=true,399,20,base
LANCOME粉底液,come過來一下,https://github.com/e14076423/src/blob/main/%E5%BA%952.jpg?raw=true,120,20,base
heme粉底液,he就是me的,https://github.com/e14076423/src/blob/main/%E5%BA%953.jpg?raw=true,487,20,base
innisfree 粉底液,超free,https://github.com/e14076423/src/blob/main/%E5%BA%954.jpg?raw=true,350,20,base
Romand 霧面絕美唇釉,羅曼蒂克,https://github.com/e14076423/src/blob/main/%E5%94%871.jpg?raw=true,299,20,lip
AIRY MATIE唇釉,有AIR的感覺,https://github.com/e14076423/src/blob/main/%E5%94%872.jpg?raw=true,388,20,lip
BBIA 花曜薔薇絲柔粉霧唇釉,薔薇是紫色還是紅色,https://github.com/e14076423/src/blob/main/%E5%94%873.jpg?raw=true,250,20,lip
3CE 絲絨唇釉,為什麼不是ACE,https://github.com/e14076423/src/blob/main/%E5%94%874.jpg?raw=true,341,20,lip
CNP膠原玻尿酸彈力密度精華液,沒可能是我大IU吧,https://github.com/e14076423/src/blob/main/%E4%BB%A31.jpg?raw=true,520520,20,celebrity
colorgram 眼影,你誰,https://github.com/e14076423/src/blob/main/%E4%BB%A32.jpg?raw=true,555,20,celebrity
clio眼影,我不認識,https://github.com/e14076423/src/blob/main/%E4%BB%A33.jpg?raw=true,666,20,celebrity
ETUDE HOUSE 睫毛膏,還是買IU的吧,https://github.com/e14076423/src/blob/main/%E4%BB%A34.jpg?raw=true,777,20,celebrity